iter	Passed	Remaining
0	205	86312
1	421	88540
2	626	87439
3	807	84416
4	999	83350
5	1182	81995
6	1363	80814
7	1566	81085
8	1761	80820
9	1964	80927
10	2179	81426
11	2387	81580
12	2603	81924
13	2812	81955
14	3023	82042
15	3224	81818
16	3412	81296
17	3625	81373
18	3834	81326
19	4040	81220
20	4241	80997
21	4436	80656
22	4647	80624
23	4820	79947
24	5014	79627
25	5217	79467
26	5429	79434
27	5654	79562
28	5872	79583
29	6072	79342
30	6288	79315
31	6494	79149
32	6692	78894
33	6892	78657
34	7096	78464
35	7294	78211
36	7502	78062
37	7713	77943
38	8280	81323
39	8517	81341
40	8724	81077
41	8931	80812
42	9151	80662
43	9360	80417
44	9557	80071
45	9754	79733
46	9965	79515
47	10177	79297
48	10378	79000
49	10581	78725
50	10788	78483
51	10985	78162
52	11201	77988
53	11410	77757
54	11618	77528
55	11826	77292
56	12026	77013
57	12233	76773
58	12431	76487
59	12636	76240
60	12837	75975
61	13071	75898
62	13276	75654
63	13481	75409
64	13517	74244
65	13721	74011
66	13934	73833
67	14136	73590
68	14338	73353
69	14540	73119
70	14740	72873
71	14946	72658
72	15156	72462
73	15370	72281
74	15586	72112
75	15816	72004
76	16033	71840
77	16238	71616
78	16449	71419
79	16650	71180
80	16844	70914
81	17051	70701
82	17253	70469
83	17458	70248
84	17695	70156
85	17905	69954
86	18097	69685
87	18295	69439
88	18496	69207
89	18693	68959
90	18898	68742
91	19529	70050
92	19912	70442
93	20173	70392
94	20586	70862
95	20803	70643
96	21025	70446
97	21239	70219
98	21446	69973
99	21649	69712
100	21867	69499
101	22115	69381
102	22341	69193
103	22550	68951
104	22763	68723
105	22972	68484
106	23180	68240
107	23388	67999
108	23586	67730
109	23796	67496
110	23800	66685
111	24002	66436
112	24199	66175
113	24387	65889
114	24616	65714
115	24812	65454
116	25013	65205
117	25212	64955
118	25419	64724
119	25600	64428
120	25789	64153
121	25971	63863
122	26138	63540
123	26318	63249
124	26492	62946
125	26665	62642
126	26865	62405
127	27084	62209
128	27292	61990
129	27503	61776
130	27690	61510
131	27871	61233
132	28051	60953
133	28234	60684
134	28444	60469
135	28650	60250
136	28859	60035
137	29058	59801
138	29533	60129
139	29786	59998
140	30021	59830
141	30254	59656
142	30480	59468
143	30705	59278
144	30899	59028
145	31105	58801
146	31332	58614
147	31542	58396
148	31769	58209
149	31979	57989
150	32206	57800
151	32424	57596
152	32640	57386
153	32843	57156
154	33067	56961
155	33248	56692
156	33451	56463
157	33667	56254
158	33901	56076
159	34093	55828
160	34291	55590
161	34505	55378
162	34710	55153
163	34893	54892
164	35087	54651
165	35293	54427
166	35510	54223
167	35722	54008
168	35926	53783
169	36139	53571
170	36363	53375
171	36566	53148
172	36787	52948
173	37115	52900
174	37517	52953
175	37985	53092
176	38216	52898
177	38406	52646
178	38598	52399
179	38814	52184
180	39006	51937
181	39218	51716
182	39405	51464
183	39615	51241
184	39839	51037
185	40040	50803
186	40242	50572
187	40440	50335
188	40644	50106
189	40898	49938
190	41129	49743
